"Subjects" "Activity" "timeBodyAccelerometer-mean()-X" "timeBodyAccelerometer-mean()-Y" "timeBodyAccelerometer-mean()-Z" "timeBodyAccelerometer-std()-X" "timeBodyAccelerometer-std()-Y" "timeBodyAccelerometer-std()-Z" "timeGravityAccelerometer-mean()-X" "timeGravityAccelerometer-mean()-Y" "timeGravityAccelerometer-mean()-Z" "timeGravityAccelerometer-std()-X" "timeGravityAccelerometer-std()-Y" "timeGravityAccelerometer-std()-Z" "timeBodyAccelerometerJerk-mean()-X" "timeBodyAccelerometerJerk-mean()-Y" "timeBodyAccelerometerJerk-mean()-Z" "timeBodyAccelerometerJerk-std()-X" "timeBodyAccelerometerJerk-std()-Y" "timeBodyAccelerometerJerk-std()-Z" "timeBodyGyroscope-mean()-X" "timeBodyGyroscope-mean()-Y" "timeBodyGyroscope-mean()-Z" "timeBodyGyroscope-std()-X" "timeBodyGyroscope-std()-Y" "timeBodyGyroscope-std()-Z" "timeBodyGyroscopeJerk-mean()-X" "timeBodyGyroscopeJerk-mean()-Y" "timeBodyGyroscopeJerk-mean()-Z" "timeBodyGyroscopeJerk-std()-X" "timeBodyGyroscopeJerk-std()-Y" "timeBodyGyroscopeJerk-std()-Z" "timeBodyAccelerometerMagnitude-mean()" "timeBodyAccelerometerMagnitude-std()" "timeGravityAccelerometerMagnitude-mean()" "timeGravityAccelerometerMagnitude-std()" "timeBodyAccelerometerJerkMagnitude-mean()" "timeBodyAccelerometerJerkMagnitude-std()" "timeBodyGyroscopeMagnitude-mean()" "timeBodyGyroscopeMagnitude-std()" "timeBodyGyroscopeJerkMagnitude-mean()" "timeBodyGyroscopeJerkMagnitude-std()" "frequencyBodyAccelerometer-mean()-X" "frequencyBodyAccelerometer-mean()-Y" "frequencyBodyAccelerometer-mean()-Z" "frequencyBodyAccelerometer-std()-X" "frequencyBodyAccelerometer-std()-Y" "frequencyBodyAccelerometer-std()-Z" "frequencyBodyAccelerometerJerk-mean()-X" "frequencyBodyAccelerometerJerk-mean()-Y" "frequencyBodyAccelerometerJerk-mean()-Z" "frequencyBodyAccelerometerJerk-std()-X" "frequencyBodyAccelerometerJerk-std()-Y" "frequencyBodyAccelerometerJerk-std()-Z" "frequencyBodyGyroscope-mean()-X" "frequencyBodyGyroscope-mean()-Y" "frequencyBodyGyroscope-mean()-Z" "frequencyBodyGyroscope-std()-X" "frequencyBodyGyroscope-std()-Y" "frequencyBodyGyroscope-std()-Z" "frequencyBodyAccelerometerMagnitude-mean()" "frequencyBodyAccelerometerMagnitude-std()" "frequencyBodyAccelerometerJerkMagnitude-mean()" "frequencyBodyAccelerometerJerkMagnitude-std()" "frequencyBodyGyroscopeMagnitude-mean()" "frequencyBodyGyroscopeMagnitude-std()" "frequencyBodyGyroscopeJerkMagnitude-mean()" "frequencyBodyGyroscopeJerkMagnitude-std()"
1 "Walking" 0.27344241621902 -0.0181698325840922 -0.114118357700288 -0.654523702743804 -0.491829925619597 -0.631953672500288 0.695302010144092 -0.124846303042778 0.142501802176945 -0.965590234582133 -0.958414404899135 -0.942423001195965 0.0781286531491931 0.0062925058572536 -0.00156666070048991 -0.612066850470893 -0.551775559450144 -0.772566408962536 -0.0500750607123919 -0.0600183556567723 0.0878224110063401 -0.739020184583285 -0.753711137233429 -0.673575592676081 -0.0891578061855908 -0.0432216735628242 -0.0549969557907781 -0.709646244466859 -0.809315360466859 -0.71321676275072 -0.587399281278386 -0.601141655689914 -0.587399281278386 -0.601141655689914 -0.637570390840058 -0.571229597468011 -0.653559150108732 -0.710088151383285 -0.776441607060519 -0.770655832634006 -0.626360342685014 -0.496692193583026 -0.670902182223919 -0.667126076157349 -0.522757078673775 -0.640813625418444 -0.615393562553026 -0.566539506029971 -0.749329368853026 -0.644872918974928 -0.567347369883285 -0.794825445590778 -0.676007830798559 -0.753756348697406 -0.645068886010375 -0.760121903674352 -0.756991087550432 -0.716198218677233 -0.570057126823343 -0.683178566438329 -0.569004793767147 -0.577131431637464 -0.729889065351585 -0.749159197988473 -0.780708572233429 -0.774400844798271
2 "Walking" 0.274319917698675 -0.0153809286660066 -0.107888106877483 -0.586234337377483 -0.49411699596553 -0.701031801225166 0.698975661721854 0.111422622213393 0.158907308675497 -0.962270531456954 -0.944348875672185 -0.944390349635762 0.0793058973056291 0.00435090534630132 -0.00601378075443709 -0.614903360539106 -0.568147951392384 -0.836725624337748 -0.0274015162600662 -0.0784803730291391 0.0959378065347682 -0.690985835754967 -0.790007724205298 -0.718744574933775 -0.108445895559934 -0.03949018125 -0.0589168105619868 -0.71148184589404 -0.898678800596026 -0.738306472241722 -0.545213655658609 -0.593134756380795 -0.545213655658609 -0.593134756380795 -0.641216252478907 -0.632150879135762 -0.646186617780132 -0.698671550407285 -0.811607673377483 -0.837484981589404 -0.611227554023179 -0.509518322880795 -0.746679890596026 -0.578056531646854 -0.520170940253013 -0.700985472185431 -0.636163612179801 -0.586647367489271 -0.81787882397351 -0.628066000898344 -0.578063997428146 -0.854562482384106 -0.62870795332649 -0.824872123642384 -0.679829376278146 -0.712251490837748 -0.773951805596026 -0.760938340960265 -0.58669537805894 -0.662717100016556 -0.619460940513576 -0.652223099215232 -0.737873891129139 -0.725710431523179 -0.831961948145695 -0.85714569986755
3 "Walking" 0.270890798583578 -0.021017455070607 -0.103972128573607 -0.609081441809384 -0.611910887856892 -0.57041642513654 0.569702137888563 0.0275953082320821 0.0575114307168035 -0.957708302903226 -0.947665786627566 -0.928473116164223 0.0841864273568915 0.00686547422243402 0.00092491541228739 -0.627458935180938 -0.704448689486804 -0.754521769958944 -0.0637098989313783 -0.0704015683205279 0.109364885969326 -0.713459135571847 -0.709947577718475 -0.633362521096598 -0.0903853119309091 -0.0417026347390029 -0.0531367764368915 -0.785213387888563 -0.798917293812317 -0.770134984516129 -0.562210391163185 -0.59940820284651 -0.562210391163185 -0.59940820284651 -0.663905758101466 -0.648533697929032 -0.599841540653666 -0.698642033108504 -0.788701507888563 -0.807875864281525 -0.627806454180938 -0.642651838205279 -0.643039726972522 -0.603246798133431 -0.622471075304985 -0.567068542900821 -0.664062872117302 -0.722754110392962 -0.737630661475073 -0.624105895340938 -0.705539669387097 -0.770237558211144 -0.679498048835777 -0.721441082372434 -0.652419431352786 -0.726429833120235 -0.707118538677419 -0.662733353574193 -0.60022325342522 -0.663387649673607 -0.649785021207918 -0.649685835070381 -0.731559144868035 -0.730027649633431 -0.80857832744868 -0.820856124046921
4 "Walking" 0.274226903072555 -0.016610342555205 -0.108007486995584 -0.521039000561514 -0.495201953153312 -0.593467938058517 0.701552772119874 -0.103599092188328 0.142143643531789 -0.96444040170347 -0.959950355457413 -0.935781656182965 0.0811915792410095 0.0118299596002839 -0.0147128300461199 -0.513244855498423 -0.53077640584918 -0.730910177498423 -0.0257722419195899 -0.089062154822817 0.0942384752525237 -0.673927718040063 -0.591235781726183 -0.576885257105994 -0.105536087174763 -0.040839843294795 -0.0553585525572871 -0.697459377570978 -0.762336107823344 -0.676785386230284 -0.485458273224164 -0.540929183866486 -0.485458273224164 -0.540929183866486 -0.560956069472457 -0.516169343319558 -0.516357660213249 -0.616731239266625 -0.727743856876972 -0.763762570031546 -0.513814939274448 -0.487788625918297 -0.632230598562145 -0.524950985509779 -0.532280126759685 -0.607117663688959 -0.532399546597792 -0.546929725209401 -0.701898467559306 -0.537276050256593 -0.545885040814196 -0.75921229170347 -0.618294840466593 -0.642637801719243 -0.551391339255836 -0.693405358400631 -0.568933214463722 -0.624881737887066 -0.513996191737539 -0.629076181467192 -0.503239233726183 -0.538099924406214 -0.655990066659306 -0.658262328056782 -0.763045213785489 -0.781941359242902
5 "Walking" 0.275699013476821 -0.0187889739016109 -0.106215156947351 -0.617405347797351 -0.54494510496755 -0.721302051163576 0.688250988009934 0.0218089908572848 0.039831861775298 -0.970098813046358 -0.958204385430464 -0.942768758443709 0.067743405860596 0.00705873530789073 -0.000966782439778145 -0.618373670496689 -0.604979429563742 -0.818388988112583 -0.0546206550059603 -0.0632925250801324 0.0926763965267219 -0.743587941505298 -0.745297454195364 -0.711844009625828 -0.0741945956956954 -0.0428320527930464 -0.057340327820298 -0.728096974930464 -0.818421478708609 -0.777274189976821 -0.592370312225497 -0.593843431415894 -0.592370312225497 -0.593843431415894 -0.663924930786093 -0.600667492265232 -0.65514741593245 -0.702586500902781 -0.791690122980132 -0.793749025387417 -0.616226746299338 -0.55409199520894 -0.753902441910596 -0.618843823624834 -0.570585978024834 -0.727497377857616 -0.633352185682086 -0.624083461521192 -0.802763941907285 -0.637536818894371 -0.611458338179305 -0.83281720410596 -0.681307968072517 -0.756275883602649 -0.696660630294702 -0.764635482705298 -0.743055267413907 -0.745871806456954 -0.581595430295364 -0.665493452568212 -0.597047040516225 -0.607503680793709 -0.731246580644371 -0.736821518208609 -0.796815301986755 -0.804844536635762
6 "Walking" 0.275127663362832 -0.0198657324036283 -0.113334409637168 -0.477476311018584 -0.308953186130531 -0.314087664281416 0.898388247876106 -0.259502496725664 -0.190521712185841 -0.964353425309735 -0.948121373539823 -0.92871658840708 0.0825828470362832 -0.00636677640929204 -0.0222674469185841 -0.508976557353982 -0.456202715638761 -0.552520161362832 -0.0765724784483186 -0.0449156368828319 0.120159399702478 -0.63518971699115 -0.423390821557522 -0.482942656849558 -0.0808318281486726 -0.048458974480531 -0.0632402811061947 -0.658153932035398 -0.475213984061947 -0.667471792831858 -0.358703336153097 -0.445383815566372 -0.358703336153097 -0.445383815566372 -0.479189292646018 -0.46198580159115 -0.397230758870796 -0.477849668274336 -0.551500430141593 -0.508889947960177 -0.495837597477876 -0.348474772927788 -0.393203065869911 -0.471551178132743 -0.334286764968142 -0.328082223112832 -0.540162549636283 -0.492974652168142 -0.531978504658407 -0.520874719230089 -0.452923124679735 -0.571680572831858 -0.573762167964602 -0.394805110310619 -0.490756726893805 -0.657171326902655 -0.447955004195575 -0.529523562123894 -0.433046629556637 -0.540124047433628 -0.452852455631858 -0.477635585219115 -0.472263674300885 -0.578905857699115 -0.50127708809646 -0.555146938969027
6 "Walking Upstairs" 0.277539183948113 -0.0162278898340094 -0.110774262740566 -0.717138665613207 -0.542545037435377 -0.763168388669811 0.679259944292453 0.0996235470377358 0.128454949678821 -0.97866228240566 -0.965438807924528 -0.962789264433962 0.0760534999485613 0.00847421598054245 -0.000325909058924528 -0.719155441881604 -0.639622012600943 -0.837755639764151 -0.0501289535796604 -0.0578869869321698 0.0823026180756132 -0.765377147514151 -0.787254501792453 -0.739919051377358 -0.0908786859514151 -0.0426515666221698 -0.0571232251283019 -0.75623552354717 -0.869889188113208 -0.742978208863208 -0.656316513987264 -0.701752622903302 -0.656316513987264 -0.701752622903302 -0.715890030323585 -0.703591214002217 -0.700303338014151 -0.743549200490566 -0.813053751462264 -0.840724288679245 -0.728033932274057 -0.584476935919811 -0.781008086533019 -0.714001980570755 -0.551052610126887 -0.773969507212264 -0.734787483879717 -0.670224519266981 -0.822441691536792 -0.728475896637797 -0.630613706895283 -0.851901236745283 -0.713663939196698 -0.805582796556604 -0.7007474905 -0.782947334481132 -0.780692044622642 -0.779126900613208 -0.694416687165094 -0.75315714740566 -0.703592416010377 -0.706070444273821 -0.770855221688679 -0.770519556448113 -0.844588859009434 -0.847185131415094
7 "Walking Upstairs" 0.276205443214286 -0.0178522609462588 -0.106832136016234 -0.639566687792208 -0.560396056743506 -0.649832254805195 0.743190035162338 -0.0799119689772727 0.0667508854253247 -0.977770644285714 -0.964800066396104 -0.953924403474026 0.0777768736568182 0.0140345490759091 0.000318688633666234 -0.686763282435065 -0.685618028441558 -0.820116047564935 -0.038983321724513 -0.0674299175225974 0.090412797350974 -0.768539098451299 -0.736577199577922 -0.700690469155844 -0.0939658579633766 -0.0452219442454545 -0.056740033434026 -0.812203413798701 -0.862817328116883 -0.809441507207792 -0.59724207762987 -0.63329684787987 -0.59724207762987 -0.63329684787987 -0.709913802857143 -0.698384621480519 -0.664184902142857 -0.734497691649351 -0.833919672824675 -0.866833605194805 -0.662731641396104 -0.603912188474026 -0.718985864675325 -0.631581766688312 -0.567147666308442 -0.642458823788961 -0.704922595422078 -0.698818815844156 -0.803432618214286 -0.696050163441558 -0.692860442402597 -0.835521477792208 -0.747851732428571 -0.782628771461039 -0.712452942597403 -0.77781084612013 -0.715734246331169 -0.725253718084416 -0.642832854847403 -0.685728046525974 -0.695398854892857 -0.703908779188312 -0.782070870941558 -0.751325669181818 -0.862267683766234 -0.883068748704545
8 "Walking Upstairs" 0.266216560982206 -0.0173265267879004 -0.108809551678292 -0.655296373291815 -0.435847624480783 -0.66101006305694 0.559720332459075 0.0351941557829181 0.114311243388149 -0.957260354946619 -0.956842462313167 -0.943830216462633 0.0821615564491103 -2.62308780782924e-05 -0.00210176012372598 -0.660763083607473 -0.571642235501779 -0.763710768419929 -0.0320624946270107 -0.0734750125079715 0.0861307855601424 -0.710442141231317 -0.614397302317438 -0.607235706027758 -0.091433833147331 -0.0456461255790036 -0.0571822102185053 -0.729631551202847 -0.703566574765125 -0.693760945425623 -0.57041934373479 -0.618658109953737 -0.57041934373479 -0.618658109953737 -0.65441351055694 -0.621662643787189 -0.573498024948754 -0.620035906810961 -0.715107395814947 -0.704723716962278 -0.652712063966192 -0.48247434811032 -0.687755504467616 -0.657434016486548 -0.448580017696085 -0.673392672775801 -0.678997530312915 -0.598463557475089 -0.747955201782918 -0.672278857966548 -0.571431106238292 -0.778015335128114 -0.66106525710605 -0.625444839249359 -0.596236418953737 -0.7275563636121 -0.611675447186121 -0.648154963357651 -0.599561611914947 -0.691852503480071 -0.614850918916868 -0.633360756384555 -0.642701106762349 -0.672051556074733 -0.714444507457011 -0.713291340276868
9 "Walking Upstairs" 0.277671543263889 -0.0170182995453403 -0.106963252778472 -0.639819571439236 -0.507808510678125 -0.639295709638889 0.755617125694444 -0.00240100134375 0.0515184461584028 -0.974488343541667 -0.954715397430556 -0.947816430520833 0.0739282973736111 0.00502035909974653 -0.00549530003770833 -0.706310964857639 -0.636391158041667 -0.744475541059028 -0.0184284852347222 -0.0819395724555556 0.0824436067095833 -0.753957222045139 -0.704066981630174 -0.61108007666875 -0.106795500453854 -0.0354910992840278 -0.0518542820520833 -0.741414805819097 -0.772265988576389 -0.721530569946528 -0.577405770325347 -0.618855452884375 -0.577405770325347 -0.618855452884375 -0.684782407721181 -0.661766576004618 -0.620778290847222 -0.691538509906944 -0.758336019618056 -0.767000931215278 -0.672848439998611 -0.551898085097708 -0.664410236219792 -0.628434887829583 -0.517796088961458 -0.654940489690972 -0.727320671513194 -0.659166552586806 -0.732439073701389 -0.711333710561805 -0.636477627395833 -0.755133685215278 -0.695527281951389 -0.709487074590625 -0.612561060361111 -0.773388784791667 -0.704028578329861 -0.647600604690972 -0.623705786044097 -0.675775835922569 -0.670022283536806 -0.654446146413194 -0.710678048825 -0.733215593847222 -0.771206008020833 -0.778529036482639
